ASV_ID	BL1	BL2	BL3	BL4	BL5	BL6	BL7	BL8	BL9	BL10	BL11	BL12	BL13	BL14	BL15	BL16	BL17	BL18	BL19	BL20	BL21	BL22	BL23	BL24	BL25	BL26	BL27	BL28	BL29	BL30	BL31	BL32	BL33	BL34	BL35	BL36	BL37	BL38	BL39	BL40	BL41	BL42	BL43	BL44	BL45	BL46	BL47	BL48	BL49	BL50	BL51	BL52	BL53	BL54	BL55	BL56	BL57	BL58	BL59	BL60	BM1	BM2	BM3	BM4	BM5	BM6	BM7	BM8	BM9	BM10	BM11	BM12	BM13	BM14	BM15	BM16	BM17	BM18	BM19	BM20	BM21	BM22	BM23	BM24	BM25	BM26	BM27	BM28	BM29	BM30	BM31	BM32	BM33	BM34	BM35	BM36	BM37	BM38	BM39	BM40	BM41	BM42	BM43	BM44	BM45	BM46	BM47	BM48	BM49	BM50	BM51	BM52	BM53	BM54	BM55	BM56	BM57	BM58	BM59	BM60	BH1	BH2	BH3	BH4	BH5	BH6	BH7	BH8	BH9	BH10	BH11	BH12	BH13	BH14	BH15	BH16	BH17	BH18	BH19	BH20	BH21	BH22	BH23	BH24	BH25	BH26	BH27	BH28	BH29	BH30	BH31	BH32	BH33	BH34	BH35	BH36	BH37	BH38	BH39	BH40	BH41	BH42	BH43	BH44	BH45	BH46	BH47	BH48	BH49	BH50	BH51	BH52	BH53	BH54	BH55	BH56	BH57	BH58	BH59	BH60
ASV19	0	2113	528	0	0	110	39	74	1096	34	0	0	0	99	646	0	183	0	164	871	230	868	23	0	401	20	267	57	155	236	0	498	86	24	681	225	195	116	596	172	20	829	39	290	284	5529	149	32	392	0	0	0	0	0	0	148	0	74	0	9	0	0	774	0	4	42	42	13	166	0	6	0	43	0	149	0	9	0	0	19	454	702	0	24	30	0	0	0	181	241	0	15	4	0	67	15	536	177	301	24	0	26	15	62	0	116	48	36	121	0	94	0	0	0	16	319	0	57	0	0	10	35	0	0	0	0	7	0	52	0	0	0	380	2	54	0	123	24	0	24	0	77	763	0	0	0	0	0	0	110	0	0	37	0	21	120	0	0	0	0	0	0	0	0	1744	1131	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ASV23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	65	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	129	0	0	0	1024	60	0	0	0	0	0	0	0	0	0	0	0	0	0	141	226	0	0	0	0	0	0	0	0	0	0	0	0	0	515	0	0	0	796	332	416	0	0	0	83	0	114	424	0	356	1353	578	0	138	1824	250	652	1126	1017	0	336	0	65	0	749	753	940	1635	834	1892	1151	616	210	0	0	0	0	0	678	230	575	0	1165	154	0	837	0	0	0	0	0	0	0	0	1446	0	0
ASV27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	487	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	477	0	0	0	162	323	0	0	0	0	0	0	0	745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	200	90	48	0	599	143	772	242	592	333	0	1210	60	502	33	119	522	272	0	1038	141	710	0	132	178	0	554	488	1000	657	0	296	0	0	340	0	0	391	215	1203	777	767	262	1799	426	214	0	799	0	1089	684	261	430	50	352	55	0	0	190	58	0	154	63
ASV30	480	506	0	0	0	119	292	1699	126	226	0	69	978	386	0	562	460	0	165	495	303	0	1088	0	208	0	323	0	0	0	473	482	468	1131	0	248	108	232	235	398	0	634	488	307	1246	182	418	109	182	405	0	0	106	172	869	203	0	0	0	0	104	0	0	0	227	45	0	0	87	0	0	0	156	0	0	112	0	67	89	0	0	0	0	0	130	0	0	0	0	0	0	198	216	349	0	0	0	0	164	924	0	0	145	0	263	165	244	0	0	31	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV29	0	0	0	0	29	0	0	0	0	0	0	619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	5	0	0	0	0	0	0	20	0	0	17	0	80	0	16	539	3	0	72	0	0	89	0	38	0	76	0	2588	7	0	0	0	0	0	3183	0	1639	0	6	61	712	613	0	20	0	0	0	10	0	0	0	0	0	266	111	29	196	0	5	0	9	0	20	0	0	0	0	282	0	13	465	0	1510	782	76	3655	780	27	869	202	0	921	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV18	598	89	0	0	21	0	30	179	117	0	0	56	172	130	0	51	254	0	194	584	202	0	719	0	17	0	128	0	0	0	0	72	1401	567	400	276	85	0	841	1176	128	247	125	595	506	231	185	151	75	0	0	0	37	0	577	199	0	0	0	0	1455	13	0	0	7	33	0	291	31	0	0	0	84	0	0	28	241	0	16	2062	91	0	567	0	193	0	0	0	0	0	60	106	923	104	0	143	0	25	423	388	0	95	197	253	117	43	191	0	42	0	0	0	0	0	43	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV38	0	0	8	0	68	0	0	0	4	0	0	0	0	0	0	0	6	9	0	8	7	16	0	0	0	0	1055	0	0	0	0	9	5	0	0	11	0	0	52	0	8	25	0	0	0	0	5	19	0	0	6	6	30	15	15	20	12	0	0	17	91	0	0	0	1537	190	635	391	15	0	0	881	186	226	0	0	50	1040	1181	0	468	85	21	0	42	1021	91	0	0	0	1096	191	14	0	327	132	0	578	939	63	97	453	0	0	1285	15	117	37	44	33	660	32	69	427	213	104	267	0	57	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	117	283	0	0	0	0	0	0	0	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	125	0	0	0	385	0	698	161	189	253	0	1071	37	213	0	82	313	396	0	587	66	509	0	70	217	0	420	383	726	238	0	92	0	0	232	0	0	271	0	843	722	394	375	1472	633	114	0	0	0	667	489	219	307	0	330	0	0	0	170	0	0	83	68
ASV37	0	0	0	0	590	82	0	0	134	0	0	14	29	3	0	0	0	0	98	0	0	0	0	257	1281	0	29	2	0	0	0	0	0	0	0	0	7	0	10	0	0	0	24	74	0	19	0	0	65	139	32	63	0	0	0	19	0	0	102	10	0	0	0	0	201	394	125	0	110	0	0	0	107	0	54	0	0	0	0	0	0	0	0	228	16	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	41	0	0	0	5	0	0	0	0	33	0	20	0	53	0	24	0	0	39	307	39	0	7372	0	0	31	0	112	159	0	0	0	0	0	0	0	0	0	0	0	0	851	0	0	0	254	383	0	0	0	0	0	0	0	297	19	163	11	0	0	59	1631	0	57	0	44	0
ASV45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	455	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	607	0	0	0	116	133	0	0	0	0	0	0	0	519	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	109	72	0	0	292	0	830	109	0	279	0	0	0	563	0	82	348	347	0	409	0	65	0	0	144	0	681	383	857	511	0	625	0	0	269	0	0	283	429	1070	733	0	469	0	367	0	158	0	0	516	677	246	338	0	387	0	0	0	153	170	160	68	0
ASV34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	37	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	63	0	0	0	619	102	0	0	0	0	0	0	0	0	0	0	0	0	0	114	107	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	249	124	216	0	0	0	0	59	53	268	0	230	765	247	0	110	1074	139	517	751	707	0	195	0	0	0	582	971	1127	814	525	853	624	248	88	0	0	0	0	0	206	216	227	0	451	90	0	623	0	0	0	0	0	0	0	0	614	0	0
ASV48	21	0	13	0	19	14	0	0	42	0	0	10	0	12	0	0	27	5	23	32	112	18	5	70	58	0	10	0	0	0	7	15	41	2	0	31	3	30	178	0	0	64	35	0	17	6	36	113	47	791	43	4	77	21	17	91	34	0	18	71	12	159	48	0	150	52	101	0	266	1276	0	86	116	204	144	101	165	173	107	48	556	252	37	124	29	57	0	0	0	0	679	29	10	45	578	37	0	51	156	57	0	27	72	25	19	16	253	523	316	381	1259	19	322	188	90	53	887	0	2	1579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	23	0	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	84	4	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	225	164	285	0	0	0	0	0	66	183	0	122	654	284	0	63	915	144	380	379	656	0	180	0	0	0	313	419	454	1031	326	1155	463	268	95	0	0	0	0	0	357	107	261	0	693	84	0	490	0	0	0	0	0	0	0	11	1005	0	0
ASV16	0	0	0	0	0	0	0	0	0	0	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	14	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	967	47	0	0	0	0	760	0	0	0	0	0	0	1627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1038	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	57	0	0	0	450	0	0	361	414	0	118	0	302	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	865	0	0	0	346	0	0	0	0	0	62	0	84	0	0	1009	904	0	0	0	194	0	186	0	0	0	0	0	136	0	349	62	0
ASV22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	462	75	0	0	0	0	0	0	0	0	0	0	0	0	0	88	134	0	0	0	0	90	0	0	0	0	0	0	0	0	195	0	0	0	163	117	0	0	0	0	0	0	0	156	0	95	283	0	0	100	503	44	601	884	523	0	63	0	0	0	514	749	1128	1008	245	276	916	210	0	0	0	0	0	0	197	121	0	0	228	0	0	493	0	0	0	0	0	8	0	0	128	0	0
