ASV_ID	RL1	RL2	RL3	RL4	RL5	RL6	RL7	RL8	RL9	RL10	RL11	RL12	RL13	RL14	RL15	RL16	RL17	RL18	RL19	RL20	RL21	RL22	RL23	RL24	RL25	RL26	RL27	RL28	RL29	RL30	RL31	RL32	RL33	RL34	RL35	RL36	RL37	RL38	RL39	RL40	RL41	RL42	RL43	RL44	RL45	RL46	RL47	RL48	RL49	RL50	RL51	RL52	RL53	RL54	RL55	RL56	RL57	RL58	RL59	RL60	RM1	RM2	RM3	RM4	RM5	RM6	RM7	RM8	RM9	RM10	RM11	RM12	RM13	RM14	RM15	RM16	RM17	RM18	RM19	RM20	RM21	RM22	RM23	RM24	RM25	RM26	RM27	RM28	RM29	RM30	RM31	RM32	RM33	RM34	RM35	RM36	RM37	RM38	RM39	RM40	RM41	RM42	RM43	RM44	RM45	RM46	RM47	RM48	RM49	RM50	RM51	RM52	RM53	RM54	RM55	RM56	RM57	RM58	RM59	RM60	RH1	RH2	RH3	RH4	RH5	RH6	RH7	RH8	RH9	RH10	RH11	RH12	RH13	RH14	RH15	RH16	RH17	RH18	RH19	RH20	RH21	RH22	RH23	RH24	RH25	RH26	RH27	RH28	RH29	RH30	RH31	RH32	RH33	RH34	RH35	RH36	RH37	RH38	RH39	RH40	RH41	RH42	RH43	RH44	RH45	RH46	RH47	RH48	RH49	RH50	RH51	RH52	RH53	RH54	RH55	RH56	RH57	RH58	RH59	RH60
ASV20	0	202	0	0	49	0	6	16	0	0	0	0	0	91	0	414	6	144	43	0	5	0	25	0	44	309	751	63	14	0	328	53	22	26	84	9	0	0	0	0	7	0	0	0	45	0	0	5	0	7	39	0	50	53	14	0	77	0	8	119	145	1732	596	484	65	8	159	639	115	381	3	19	645	569	220	375	714	164	454	227	451	1063	370	125	246	1883	4337	2409	493	660	468	745	587	1168	111	460	19	211	67	11	184	517	943	314	359	714	246	39	717	39	12	229	97	9	294	38	19	62	28	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	14	0	9	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	22	0	34	44	0	28	0	0	0	23	0	0	57	1048	30	77	0	353	6	122	979	171	682	0	184	263	435	5	1503	36	59	359	1161	54	615	1854	0	209	1821	3852	0	0	34	39	23	278	599	400	1305	215	138	386	204	6415	330	10	18	921	43	316	211	0	78	292	282	198	399	338	97	720	11	0	326
ASV8	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	11	0	0	0	0	15	0	0	12	0	16	8	0	0	23	12	0	0	0	0	0	0	0	0	0	8	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	49	35	0	12	7	15	25	0	0	0	428	0	123	0	541	47	53	2754	615	3	0	273	416	1207	0	20	1941	205	733	1142	942	104	197	0	45	665	0	0	0	256	169	53	679	1001	502	1651	149	2487	1632	333	0	132	139	614	1413	221	388	896	41	513	280	316	255	359	498	392	119	50	76	380
ASV16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1485	0	0	0	0	0	0	3243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	104	0	0	0	0	1151	0	0	3741	739	0	1065	0	0	0	0	321	39	0	0	0	306	0	0	0	0	2314	2304	0	0	213	0	0	0	1955	67	313	68	193	0	473	0	355	0	0	1925	1617	0	0	0	302	0	0	0	0	0	0	0	0	0	349	94	0
ASV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	88	1374	0	0	0	0	0	0	0	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	92	5	0	0	0	24	33	880	78	235	874	15	1456	0	3447	0	0	701	126	0	86	54	298	0	13	749	2	997	238	1541	449	448	965	0	0	119	587	0	752	0	0	328	0	912	0	0	282	37	0	0	369	108	425	311	262	116	0	0	451	802	0	27	56	75
ASV24	0	0	381	0	78	374	1152	0	107	11	0	0	229	444	481	0	0	12	371	4	45	0	0	611	0	0	0	107	4	391	0	5	8	10	0	0	0	30	12	11	15	0	5	497	0	0	0	27	53	40	253	62	53	17	0	169	834	95	35	67	0	73	116	0	60	252	65	0	909	29	0	92	262	167	17	0	77	0	18	0	36	1142	0	30	21	0	0	516	0	52	66	25	0	0	45	0	0	35	22	3	0	0	9	204	26	11	20	0	18	31	43	69	20	36	0	11	44	82	22	13	115	1445	757	0	301	0	55	7	4	0	0	0	42	64	113	587	489	18	1088	18	520	1420	8	0	0	0	0	0	0	39	609	30	21	21	0	118	3	0	564	399	0	195	0	8	304	364	54	0	0	0	0	243	0	0	130	0	0	0	3	0
ASV25	95	0	270	0	371	161	94	260	232	268	0	848	254	176	95	85	262	276	166	131	265	156	487	340	401	272	0	0	0	0	113	0	140	71	49	204	0	284	554	136	158	0	253	91	103	0	170	176	96	134	100	153	253	377	153	226	0	48	235	89	408	50	79	0	17	273	0	94	86	1757	0	132	66	78	44	452	95	221	191	510	209	87	457	59	207	413	186	0	0	33	151	140	170	139	324	102	0	276	380	422	0	247	144	154	216	220	145	109	208	24	89	96	40	35	203	94	148	5	96	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV31	301	279	183	0	296	327	93	54	219	319	0	111	389	364	101	116	345	651	406	221	115	236	261	196	227	0	0	625	0	919	412	696	204	155	74	298	0	0	146	136	154	615	122	89	269	647	287	312	61	136	228	337	613	467	161	284	306	119	201	174	0	164	32	0	39	134	0	0	182	170	0	133	217	154	209	0	50	129	209	0	175	84	50	198	0	0	0	122	0	148	429	0	101	0	96	70	0	0	162	54	0	73	72	159	0	103	200	68	283	51	23	277	57	71	105	273	85	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV32	780	0	132	0	222	335	316	464	447	71	0	0	371	320	85	0	625	78	374	703	257	0	821	141	478	0	0	0	0	0	0	0	648	680	176	1457	40	406	490	306	273	665	351	235	424	225	550	300	0	143	115	231	284	207	362	228	21	302	89	77	223	0	0	0	0	128	0	136	0	0	0	71	185	37	47	118	164	104	74	259	51	0	0	0	99	0	0	0	0	0	139	72	177	171	0	0	0	54	98	209	0	0	112	153	143	131	0	39	0	19	0	31	19	21	77	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV39	342	0	78	0	404	45	62	824	36	0	0	147	85	297	0	1922	373	587	265	81	0	225	441	32	228	2149	72	0	0	0	810	901	431	372	767	244	40	130	72	68	164	195	21	56	869	0	303	245	32	0	178	64	207	410	222	256	546	40	52	273	39	0	0	0	2	0	0	58	0	0	0	21	35	34	0	56	31	20	0	0	0	0	32	0	9	0	0	0	0	0	53	50	39	41	0	0	0	0	20	10	0	0	13	0	0	0	18	22	0	0	5	20	15	6	41	57	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
