Direct,CBM,Direct|CBM
,K15886,K01929
,K01819,K02437
,K15936,K03438
,K15931,K00616
,K10380,K01783
,K16037,K01867
,K11687,K01704
,K08642,K01810
,K12287,K00950
,K13658,K01814
,K15792,K00133
,K10697,K06969
,K19115,K03703
,K19116,K00036
,K03221,K02356
,K11034,K01939
,K19097,K03644
,K19113,K02338
,K18094,K01409
,K15051,K00954
,K00504,K02108
,K03894,K14652
,K07357,K03687
,K01135,K01752
,K12684,K02112
,K12706,K01737
,K17992,K05592
,K04054,K00794
,K18121,K06217
,K00011,K01972
,K01518,K01756
,K08721,K01892
,K11593,K01889
,K13877,K03544
,K15345,K02986
,K15368,K09903
,K18294,K03723
,K18295,K03529
,K18296,K02909
,K18984,K02110
,K19276,K02834
,K19509,K01056
,K02184,K01719
,K02191,K00806
,K19048,K02519
,K10774,K00927
,K11909,K01591
,K00218,K01689
,K01492,K02895
,K12421,K00554
,K12444,K03531
,K12676,K00760
,K15930,K00789
,K17105,K02114
,K18936,K02343
,K08659,K01883
,K03813,K03527
,K15320,K03596
,K14631,K02316
,K15950,K03545
,K17990,K04066
,K18239,K00930
,K10622,K01873
,K02799,K02601
,K11176,K06997
,K11958,K03524
,K16117,K00566
,K00844,K02111
,K19243,K02115
,K05917,K03076
,K10215,K00791
,K18344,K02836
,K11169,K02935
,K07358,K04075
,K12687,K00031
,K07505,K01869
,K15533,K03110
,K18005,K00962
,K19545,K01937
,K03207,K02357
,K07351,K02528
,K07781,K02600
,K13918,K02835
,K17489,K02838
,K19114,K02863
,K09729,K02867
,K12950,K02871
,K05789,K02874
,K02812,K02876
,K02814,K02878
,K02815,K02879
,K14988,K02881
,K14989,K02884
,K18237,K02886
,K19128,K02887
,K13620,K02892
,K13684,K02899
,K16711,K02906
,K11147,K02916
,K12673,K02926
,K12674,K02931
,K12719,K02933
,K12721,K02939
,K15884,K02946
,K15941,K02948
,K15942,K02950
,K15943,K02952
,K15944,K02965
,K15945,K02967
,K15946,K02968
,K15951,K02982
,K16006,K02988
,K16153,K02992
,K16214,K02994
,K15060,K03043
,K01240,K03046
,K02936,K03075
,K11032,K03550
,K11033,K03551
,K16654,K03664
,K18591,K03702
,K17948,K03977
,K02813,K03979
,K19587,K06187
,K07450,K06942
