Direct,CBM,Direct|CBM
aerobic_ammonia_oxidation,human_gut,chemoheterotrophy
nitrification,mammal_gut,aerobic_chemoheterotrophy
intracellular_parasites,arsenate_detoxification,nitrate_reduction
,dissimilatory_arsenate_reduction,anoxygenic_photoautotrophy
,oil_bioremediation,anoxygenic_photoautotrophy_S_oxidizing
,human_pathogens_gastroenteritis,photoautotrophy
,human_pathogens_diarrhea,phototrophy
,fumarate_respiration,fermentation
,human_pathogens_pneumonia,ureolysis
,human_pathogens_septicemia,nitrate_respiration
,human_pathogens_nosocomia,nitrogen_respiration
,invertebrate_parasites,methylotrophy
,plastic_degradation,methanol_oxidation
,aromatic_hydrocarbon_degradation,nitrite_respiration
,human_pathogens_meningitis,nitrogen_fixation
,dark_oxidation_of_sulfur_compounds,manganese_oxidation
,dark_thiosulfate_oxidation,ligninolysis
,,nitrite_ammonification
,,nitrate_ammonification
,,chitinolysis
,,denitrification
,,nitrate_denitrification
,,nitrite_denitrification
,,nitrous_oxide_denitrification
,,dark_hydrogen_oxidation
,,cellulolysis
,,animal_parasites_or_symbionts
,,human_associated
,,human_pathogens_all
,,xylanolysis
,,aromatic_compound_degradation
,,hydrocarbon_degradation
,,methanotrophy
,,predatory_or_exoparasitic
,,plant_pathogen
