Direct,CBM,Direct|CBM
ASV2759,ASV729,
ASV3591,ASV2183,
ASV3184,ASV3729,
ASV2838,ASV3561,
ASV3676,ASV1332,
ASV3335,ASV1976,
ASV3273,ASV2401,
ASV3447,ASV2867,
ASV3645,ASV2864,
ASV2616,ASV3400,
ASV3343,ASV1421,
ASV3459,ASV1065,
ASV3643,ASV987,
ASV3513,ASV2151,
ASV3590,ASV3116,
ASV3330,ASV2496,
ASV2943,ASV1000,
ASV3208,ASV1999,
ASV3334,ASV2748,
ASV3742,ASV2068,
ASV2614,ASV2951,
ASV2766,ASV1911,
ASV3033,ASV1378,
ASV2878,ASV2694,
ASV3026,ASV2004,
ASV2922,ASV2367,
ASV2545,ASV3554,
ASV3496,ASV3718,
ASV3272,ASV2598,
ASV3025,ASV2245,
ASV2888,ASV3730,
ASV2627,ASV138,
ASV2822,ASV1539,
ASV2537,ASV2028,
ASV2228,ASV2696,
ASV3379,ASV2660,
ASV3222,ASV2979,
ASV3464,ASV1355,
ASV3646,ASV1456,
ASV3205,ASV1687,
ASV2549,ASV673,
ASV3354,ASV2743,
ASV2611,ASV1049,
ASV3690,ASV3719,
ASV2317,ASV3585,
ASV3339,ASV3389,
ASV2623,ASV362,
ASV2907,ASV1347,
ASV3588,ASV2564,
ASV2846,ASV1688,
ASV2138,ASV1933,
ASV2915,ASV894,
ASV3743,ASV2554,
ASV2679,ASV3075,
ASV2677,ASV3701,
ASV3747,ASV2604,
ASV2832,ASV1739,
ASV2886,ASV2505,
ASV2691,ASV1794,
ASV3466,ASV3105,
ASV3758,ASV2323,
ASV3000,ASV2607,
ASV3048,ASV1377,
ASV2179,ASV1292,
ASV3687,ASV1912,
ASV3454,ASV2515,
ASV3609,ASV3238,
ASV3775,ASV3710,
ASV3531,ASV1967,
ASV3601,ASV2049,
ASV2210,ASV3294,
ASV3607,ASV1160,
ASV3526,ASV2409,
ASV3068,ASV2965,
ASV2928,ASV3252,
ASV3376,ASV124,
ASV3047,ASV2595,
ASV2476,ASV1706,
ASV3594,ASV2123,
ASV3537,ASV992,
ASV2209,ASV1558,
ASV2757,ASV2573,
ASV3331,ASV3703,
ASV3628,ASV1821,
ASV3540,ASV2362,
ASV2908,ASV1524,
ASV3263,ASV3162,
ASV2755,ASV3582,
ASV3499,ASV1446,
ASV3365,ASV1705,
ASV2165,ASV2308,
ASV3194,ASV994,
ASV3437,ASV1696,
ASV2353,ASV2072,
ASV3604,ASV2276,
ASV3336,ASV2504,
ASV3188,ASV2958,
ASV3497,ASV1054,
ASV2060,ASV1961,
ASV3536,ASV2468,
ASV1744,ASV2597,
ASV3744,ASV3709,
ASV3368,ASV3302,
