ASV_ID,BEN_BC,BHI_BC,BRA_BC,CSA_BC,CHIA_BC,CZA_BC,GN1_BC,GYM_BC,GLA_BC,GGA_BC,HA_BC,HVA_BC,KB_BC,LNMS_BC,LB_BC,MCA_BC,MYP_BC,MIC_BC,MM_BC,PYG_BC,PYS_BC,PPS_BC,PDA_BC,RA_BC,RH_BC,RZ1_BC,RZ2_BC,SA_BC,SSM_BC,SSTY_BC,CMCA_BC,SLA_BC,SEA-B_BC,SEA-R_BC,SCA_BC,SGCY_BC,SNA_BC,STA_BC,STBG_BC,T5_BC,TP_BC,TGY_BC,TCN_BC,YGCP_BC,YMG_BC,TSA_BC,0.1×TSA_BC,0.01×TSA_BC,NA_BC,0.1×NA_BC,0.01×NA_BC,AIA_BC,0.1×AIA_BC,0.01×AIA_BC,R2A_BC,0.1×R2A_BC,0.01×R2A_BC,MA_BC,0.1×MA_BC,0.01×MA_BC,BEN_RC,BHI_RC,BRA_RC,CSA_RC,CHIA_RC,CZA_RC,GN1_RC,GYM_RC,GLA_RC,GGA_RC,HA_RC,HVA_RC,KB_RC,LNMS_RC,LB_RC,MCA_RC,MYP_RC,MIC_RC,MM_RC,PYG_RC,PYS_RC,PPS_RC,PDA_RC,RA_RC,RH_RC,RZ1_RC,RZ2_RC,SA_RC,SSM_RC,SSTY_RC,CMCA_RC,SLA_RC,SEA-B_RC,SEA-R_RC,SCA_RC,SGCY_RC,SNA_RC,STA_RC,STBG_RC,T5_RC,TP_RC,TGY_RC,TCN_RC,YGCP_RC,YMG_RC,TSA_RC,0.1×TSA_RC,0.01×TSA_RC,NA_RC,0.1×NA_RC,0.01×NA_RC,AIA_RC,0.1×AIA_RC,0.01×AIA_RC,R2A_RC,0.1×R2A_RC,0.01×R2A_RC,MA_RC,0.1×MA_RC,0.01×MA_RC
ASV18_MT,0.128704113,0.001414119,0,0,0.000652316,0.003079507,0,0.026375419,0.002901807,0,0,0,0.008599509,0,0,0.002582311,0.021276596,0,0.001414677,0.206716792,0.008781241,0,0.050150363,0,0.016926855,0,0,0,0,0,0.005369608,0.009210984,0.081007548,0.009165418,0,0.013018937,0,0.00224477,0.038668983,0.034870136,0,0.008588735,0.019298589,0.03193638,0.010726073,0.004266296,0.016551127,0,0.004424313,0,0,0,0,0,0.0038043,0.004208028,0,0,0,0,0.05518591,0,0,0,0,0.020257827,0,0.02398524,0,0,0,0.022564008,0.011565556,0.011013411,0.002438567,0.011441869,0.009520288,0.016710183,0.017037754,0.029932735,0.004201297,0,0.02473262,0,0.011303961,0,0,0,0,0,0.005989305,0,0.024228082,0.014512424,0,0,0,0.008704453,0.035677138,0.0402425,0,0,0.004653515,0.021483492,0.011310179,0,0.015889609,0.004742666,0.00550055,0.001737858,0,0.003564109,0.001191567,0,0.020877026,0.012507707,0,0,0.001481207,0
ASV18_HT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV21_LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV21_MT,0,0,0,0,0,0,0,0,0,0.003236845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001163129,0.001220772,0,0,0,0,0.001289372,0,0.000799361,0,0,0,0,0,0,0,0,0,0,0.001691144,0,0,0,0,0,0,0,0,0,0.000360068,0,0,0,0,0,0,0,0,0,0,0,0,0.001932197,0,0.003109851,0.003864395,0,0.002566453,0,0,0,0.002013482,0,0,0.004965157
ASV21_HT,0.008661133,0,0,0,0,0,0,0,0.00610761,0,0,0,0,0,0,0,0.000650376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002361164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000264434,0,0,0,0.093864756,0.003940628,0.008596628,0,0.031827608,0.000561062,0.011497503,0.09285782,0.015006582,0.063589744,0,0.019232779,0.027818913,0.054716981,0.00053339,0.136537064,0.00400757,0.00529148,0.035407831,0.109839167,0.004987992,0.063428218,0.170733953,0,0.020958684,0.187230105,0.361860028,0,0,0.003382411,0.003806363,0.002613339,0.025516292,0.055850816,0.038376667,0.126367774,0.022449619,0.012655906,0.034032798,0.018841784,0.565646768,0.035729753,0.001069633,0.001770608,0.088016055,0.00442888,0.028333184,0.022761597,0,0.00955414,0.029820261,0.028887523,0.022523035,0.038361696,0.030955216,0.01170508,0.079487746,0.00113566,0,0.030450215
ASV7_LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353607,0,0,0,0,0,0,0,0,0,0.005959476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010180036,0.003622834,0.710093689,0.008256039,0.012367328,0,0.007782553,0.015599676,0,0.736108661,0,0.005376922,0.012066224,0.009086737,0.011700708,0.009176162,0.013087736,0.006498051,0,0,0.011360354,0.011049724,0.005798302,0.036576668,0.004133085,0,0.519649722,0.625177936,0.082518337,0.050551081,0.15628091,0.009968143,0.008434319,0.055153322,0.013272622,0,0.002474992,0,0,0.014646848,0.009539656,0,0,0.012630707,0.093429267,0,0.002210611,0.002059154,0.001501351,0.001172016,0.001853759,0,0.002976727,0.001956756,0,0.001704647,0.011928981,0.001585969,0
ASV7_MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008414873,0,0.022824679,0.153776978,0.005626374,0.005912571,0.002253733,0.010762608,0.051175657,0,0.03107312,0.059955793,0.052675849,0.029753975,0.036766085,0.014835644,0.012847768,0.02694517,0.01500484,0.00941704,0.014521874,0.051753674,0.029507257,0,0.06141522,0.024248814,0,0.322489699,0.169367909,0.059738576,0.05144385,0.01878582,0.049019608,0.039047818,0.083985957,0.011557839,0.964624298,0.03562753,0.007489078,0,0,0.0287687,0.038239757,0.010854817,0.01281153,0.141419981,0.020071085,0.003249605,0.054883266,0.002103723,0,0.009088479,0.007424381,0.001701747,0.010962822,0.005813441,0.000787884,0,0.004721348,0.00043554
ASV7_HT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002884998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV5_LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001448715,0,0,0,0,0,0,0,0.006072411,0,0,0,0,0,0,0,0.02459541,0,0,0,0,0,0,0.006256618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443398916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV5_MT,0,0,0.004228528,0.007156435,0,0,0,0,0,0,0,0,0.015868141,0.000176258,0,0,0,0,0,0,0,0,0,0.009665997,0,0,0,0.355624856,0.017001056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028996865,0.059833375,0,0,0.000259965,0,0,0,0,0,0,0,0,0,0,0.068403909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000263574,0,0.068857081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000977876,0,0,0,0,0,0,0,0,0,0,0
